"person","sequence_id","coin","start","sequence"
"ingeborgR",14,"1HRK","h","hthhtthttthhthhthtthhhtthththhthhhhhhhhttthhttttththhhhtthttthhhhththhtthhtthhhhththtttthhhtthtththt"
"ingeborgR",15,"1HRK","h","hhhthththhhthhthhhtthttthtththhhthhhhthhthhtttttxhthtththhhhhttthhhtthhhttthtttthhhttththhthhhhtxththhh"
"ingeborgR",16,"1HRK","t","ththttthhhtttthhhhtthhhttthhhttttththhhttththhhhhxtttthhhhtttttttttttttttththhthhtttxtttttthhhhthhhtth"
"ingeborgR",17,"1HRK","h","hththhthhttttthhhthhttthtttttthttthhthttthhhhhttthhhhhhhhhthhtttthhttththtththhtthhhtthttttttxhtththt"
"ingeborgR",18,"1HRK","h","ttthhthhttthhthhhtththhhhtthtthththttthhhtttttthhttththtthtthtthtthhhthtthtthhxtthhthhhththhththhxtttt"
"ingeborgR",19,"1HRK","t","hhhthhthththhhttxhttthhtthhhthhhhhhhthhthhttthtththtxhthhhhhtthhththtttthhhhththtttthtthhthhthhhhhhttt"
"ingeborgR",20,"1HRK","h","tthhhhthhhtttththththhththhhhhhthttthhhtttttthhhhhtthttxthhththhtttthhhhhhhththhthtththhhthththhhhhtt"
"ingeborgR",21,"1HRK","t","tthtthhthtttttthhhttthhtththhtthhhththtththhhhthtthththtthhtthtthhhhhththhththttththththhhththhhthth"
"ingeborgR",22,"1HRK","t","ttthxhhhxttxthtthhhhttthhtttxtthhhthththhhttthtxthtthhtththhthtthtthhtttthtthtththtthtthhhhttttthhhhhttht"
"ingeborgR",23,"1HRK","t","htttththttthtthhhthhhthhhttthhhthtththtthttthththtthhhhttthhhhtththhtthtthththhhthtthhthhtthtthxhttht"
"ingeborgR",24,"1HRK","h","ththhttxthxhhthththhhhtthhtthhtththtthtththhhththtththtththttthttttthtthththhhththhhtthtttthhhhtttttht"
"ingeborgR",25,"1HRK","h","tthhtthtttthtttttttxhhttttthhthhthhhtttththhththhxtthhttthttxhhthtthththxhttttttthxhhhhhhhhthhthththhtttt"
"ingeborgR",26,"1HRK","h","hthththhththtxhhttthhtthththththttthhhtththtxtthhtthhxhhhhhttthtttttthtxthhhhththhthhttthhtthhtxthhtthhht"
"ingeborgR",27,"1HRK","t","hhhttttthttttttthttththtthhhhttxhhttthhhthththhhhxxtttthhhttthhtthhhhhhtttththhhhhtttththtttthhttttthhh"
"ingeborgR",28,"1HRK","t","thttththhhthhhthhttthhtttthththhhhhththhtthtxhtttthtttththttttttxhttthhhtthttttthhttttttthththhthtttht"
"ingeborgR",29,"1HRK","t","tththhthtttttthtttttthttttthhhthththttththtthhthhthtttthttthttthtthttthhhtththhthhthhththhhhththttth"
"ingeborgR",30,"1HRK","h","hhthtththhthhhttthhtthhtthhhthxthtttthhhhttthhhtttthtthhhhthtthhhhttthhhhhtthhtthhhhthttxthtttttthhhht"
"ingeborgR",31,"1HRK","t","hhtttththtthhhhhththhhhhhhthhhhhhhhhxthtththhtthhhhttthtxththtttththhhttthtthhthhhthtththhtttthhhthhtt"
"ingeborgR",32,"1HRK","h","xthhhhthhhtththhhttthhtthhhtthhthhhhhtththhhthhttththhhtthhththttttthhthhhhtththhtttththtththttttttht"
"ingeborgR",33,"1HRK","t","hthttttttthttthhhttthhhhthhhthththhthhhttttthhhhtttththhtttttthhtttttthttthhhhhttththhthhhhhhhthhhhh"
"ingeborgR",34,"1HRK","t","htthhhhthtxthhhhthtttththhhththhthththhhhthhthhhthhhthhhtthhththhtthhhtttthhhhththhhtxtttttthttthhthht"
"ingeborgR",35,"1HRK","h","hthhththhttttththhhhhththhhhhhththhtthxhhthththhtthtthhthhhhhhttthhhthttttththhthtththxthhhxhthtxhthttth"
"ingeborgR",36,"1HRK","h","hthttthhhhtxhtthtthtththttxthtthhththhhhhththxhthttttthttthhhhhthxtthhthtthhthhhhhthththhhhthhtthtthhtht"
"ingeborgR",37,"1HRK","t","txhhtthhthhhtthtxthhhthhttththhhhhxhthhhhhhttttttthhththtxthhhtthttthhthhtxtththhhhttthhxthhthhttxttxttththt"
